hour,weekday,value
12am,Sunday,1200
1am,Sunday,800
2am,Sunday,700
3am,Sunday,650
4am,Sunday,620
5am,Sunday,600
6am,Sunday,700
7am,Sunday,900
8am,Sunday,1100
9am,Sunday,1300
10am,Sunday,1500
11am,Sunday,1600
12am,Monday,1400
1am,Monday,900
2am,Monday,850
3am,Monday,800
4am,Monday,780
5am,Monday,760
6am,Monday,950
7am,Monday,1300
8am,Monday,1800
9am,Monday,2000
10am,Monday,2100
11am,Monday,1900
12am,Tuesday,1600
1am,Tuesday,1100
2am,Tuesday,950
3am,Tuesday,900
4am,Tuesday,880
5am,Tuesday,860
6am,Tuesday,1100
7am,Tuesday,1500
8am,Tuesday,1900
9am,Tuesday,2200
10am,Tuesday,2300
11am,Tuesday,2100
12am,Wednesday,1700
1am,Wednesday,1200
2am,Wednesday,1000
3am,Wednesday,950
4am,Wednesday,930
5am,Wednesday,900
6am,Wednesday,1200
7am,Wednesday,1600
8am,Wednesday,2000
9am,Wednesday,2300
10am,Wednesday,2400
11am,Wednesday,2200
12am,Thursday,1500
1am,Thursday,1100
2am,Thursday,950
3am,Thursday,920
4am,Thursday,900
5am,Thursday,880
6am,Thursday,1150
7am,Thursday,1550
8am,Thursday,1950
9am,Thursday,2150
10am,Thursday,2250
11am,Thursday,2050
12am,Friday,1600
1am,Friday,1200
2am,Friday,1000
3am,Friday,970
4am,Friday,950
5am,Friday,930
6am,Friday,1300
7am,Friday,1700
8am,Friday,2100
9am,Friday,2400
10am,Friday,2500
11am,Friday,2300
12am,Saturday,1300
1am,Saturday,900
2am,Saturday,800
3am,Saturday,780
4am,Saturday,760
5am,Saturday,740
6am,Saturday,900
7am,Saturday,1200
8am,Saturday,1500
9am,Saturday,1700
10am,Saturday,1800
11am,Saturday,1700
